q_num,q_lbl_cat,q_lbl_eng,reverse
1, Em resulta fàcil parlar dels meus sentiments amb altres persones,It’s easy for me to talk about my feelings with other people.,0
2,Sovint en costa veure les coses des del punt de vista de l’altra persona. ,I often find it hard to see things from someone else’s point of view. ,1
3,Sóc una persona molt motivada,I’m a very motivated person.,0
4,Em costa controlar els meus sentiments,I find it hard to control my feelings. ,1
5, La meva vida no és agradable,My life is not enjoyable.,1
6,No em porto bé amb els meus companys de classe,I’m good at getting along with my classmates. ,0
7,"Sovint, canvio d’opinió",I change my mind often.,1
8, Em costa saber amb exactitud quina emoció estic sentint,I find it hard to know exactly what emotion I’m feeling.,1
9,M’agrada la meva aparença,I’m comfortable with the way I look.,0
10,M’és complicat defensar els meus drets,I find it hard to stand up for my rights.,1
11,"Quan vull, puc fer que els altres es sentin bé",I can make other people feel better when I want to.,0
12,A vegades penso que tota la meva vida serà un “desastre”,"Sometimes, I think my whole like is going to be miserable.",1
13,A vegades penso que els altres es queixen que els tracto malament.,"Sometimes, others complain that I treat them badly.",1
14,És difícil per mi afrontar els canvis a la meva vida,I find it hard to cope when things change in my life.,1
15,"Sóc capaç de controlar l’estrès (l’ansietat, el nerviosisme, etc.)",I’m able to deal with stress.,0
16,Em costa mostrar a les persones pròximes que em preocupo per elles,I don’t know how to show the people close to me that I care about them.,1
17,Sóc capaç de posar-me en el lloc de l’altra persona i sentir les seves emocions,I’m able to “get into someone’s shoes” and feel their emotions.,0
18,Em costa mantenir-me motivat,I find it hard to keep myself motivated.,1
19,"Quan vull, puc controlar el meu enuig",I can control my anger when I want to.,0
20,Sóc feliç amb la meva vida,I’m happy with my life. ,0
21,Em veig com un bon negociador,I would describe myself as a good negotiator. ,0
22,Algunes vegades m’implico en coses que més tard me’n penedeixo.,"Sometimes, I get involved in things I later wish I could get out of.",1
23,Poso molta atenció als meus sentiments,I pay a lot of attention to my feelings. ,0
24,Em sento bé amb mi mateix,I feel good about myself.,0
25,"Tendeixo a rectificar, fins i tot quan sé que tinc raó",I tend to “back down” even if I know I’m right.,1
26,Sóc incapaç de canviar els sentiments dels altres,I’m unable to change the way other people feel.,1
27,Penso que les coses m’aniran bé a la vida,I believe that things will work out fine in my life.,0
28,"Algunes vegades, m’hagués agradat tenir una relació millor amb els meus pares","Sometimes, I wish I had a better relationship with my parents. ",1
29,Sóc capaç d’adaptar-me bé a ambients nous,I’m able to cope well in new environments.,0
30, Intento controlar els meus pensaments i no preocupar-me massa sobre les coses. ,I try to control my thoughts and not worry too much about things. ,0
